radios,mean,stdev,min,max
2,98.73,1.26,93.75,100.00
3,97.55,1.69,91.25,100.00
4,96.32,2.15,83.75,100.00
5,94.94,2.51,83.75,100.00
6,93.78,2.72,82.50,100.00
7,92.82,2.93,78.75,100.00
8,91.52,3.12,78.75,100.00
9,90.30,3.34,76.25,100.00
10,89.28,3.44,75.00,98.75
11,88.25,3.67,71.25,100.00
12,87.11,3.75,68.75,100.00
13,85.93,3.90,70.00,100.00
14,84.89,4.03,68.75,97.50
15,83.92,4.15,65.00,98.75
16,82.85,4.23,61.25,97.50
17,81.74,4.33,62.50,96.25
18,80.81,4.43,62.50,95.00
19,79.75,4.52,55.00,95.00
20,78.78,4.64,60.00,95.00
21,77.70,4.68,53.75,93.75
22,76.75,4.79,57.50,93.75
23,75.81,4.79,53.75,93.75
24,74.84,4.91,51.25,91.25
25,73.95,4.93,55.00,91.25
26,73.03,5.02,52.50,90.00
27,72.15,5.05,48.75,92.50
28,71.13,5.11,51.25,90.00
29,70.31,5.14,45.00,88.75
30,69.41,5.20,47.50,90.00
31,68.58,5.17,45.00,87.50
32,67.71,5.27,46.25,88.75
33,66.89,5.31,45.00,85.00
34,66.00,5.32,45.00,85.00
35,65.25,5.35,43.75,83.75
36,64.42,5.37,40.00,85.00
37,63.62,5.38,40.00,85.00
38,62.83,5.43,40.00,83.75
39,62.03,5.48,40.00,82.50
40,61.25,5.46,37.50,86.25
41,60.44,5.49,37.50,81.25
42,59.71,5.50,36.25,81.25
43,58.96,5.55,33.75,81.25
44,58.15,5.53,35.00,83.75
45,57.42,5.53,33.75,81.25
46,56.77,5.57,33.75,77.50
47,56.11,5.57,33.75,81.25
48,55.36,5.60,31.25,76.25
49,54.68,5.60,31.25,77.50
